sid,sub,pid,pred,oid,obj,class,score,path,rpath,time,softmaxscore
1397869.0,dbr:Darrell_Griffith,599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,0,0.07169158550738083,"[1397869, 3229261, 763783, 4567127]","[-1, 123, 123, 189]",1.7982070446014404,0.24533749538225286
1397869.0,dbr:Darrell_Griffith,599,dbo:team,3218267.0,dbr:Los_Angeles_Lakers,0,0.07176661298329583,"[1397869, 3229261, 2829669, 3218267]","[-1, 123, 123, 189]",1.8576009273529053,0.24535590312581335
1397869.0,dbr:Darrell_Griffith,599,dbo:team,4525720.0,dbr:Sacramento_Kings,0,0.07307185358311472,"[1397869, 3229261, 2522210, 4525720]","[-1, 123, 123, 189]",1.7309730052947998,0.24567636070360319
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,4567127.0,dbr:San_Antonio_Spurs,1,0.12186747015938622,"[1431155, 1431156, 4567127]","[-1, 602, 599]",1.5659890174865723,0.2620764297881442
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,3782014.0,dbr:New_York_Knicks,0,0.05705667213557387,"[1431155, 769522, 5528006, 3782014]","[-1, 480, 480, 189]",3.5119669437408447,0.2456297645132642
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.05897671957116364,"[1431155, 1431156, 4567127, 3038845, 1156689]","[-1, 602, 599, 599, 189]",3.062804937362671,0.24610183836979302
1431155.0,dbr:David_Robinson_(basketball),599,dbo:team,4628461.0,dbr:Seattle_SuperSonics,0,0.05934287879953241,"[1431155, 1431156, 4567127, 3116669, 4628461]","[-1, 602, 599, 189, 236]",3.109462022781372,0.24619196732879867
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,1357357.0,dbr:Dallas_Mavericks,1,0.12353206267337016,"[1522148, 1522151, 1357357]","[-1, 602, 599]",1.787843942642212,0.34622890336054846
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,1156689.0,dbr:Chicago_Bulls,0,0.06493603989060673,"[1522148, 3740468, 3567640, 1156689]","[-1, 329, 329, 599]",2.097529888153076,0.32652421257819086
1522148.0,dbr:Dirk_Nowitzki,599,dbo:team,2450828.0,dbr:Indiana_Pacers,0,0.0671468191102002,"[1522148, 3740468, 1548522, 2450828]","[-1, 329, 599, 599]",2.2778849601745605,0.3272468840612608
